recipient_id,recipient_name,category,subcategory,restaurant_name,location,award_status,year,book_title,publisher,publication,show,company,project
44717,Johanne Killeen,Restaurant & Chef,Best Chefs,Al Forno,"Providence, Rhode Island",Nominee,1991,,,,,,
46976,George Germon,Restaurant & Chef,Best Chefs,Al Forno,"Providence, Rhode Island",Nominee,1991,,,,,,
45662,Charlie Trotter,Restaurant & Chef,Best Chefs,Charlie Trotters,"Chicago, Illinois",Nominee,1991,,,,,,
47868,Sanford D'Amato,Restaurant & Chef,Best Chefs,Sanford,"Milwaukee, Wisconsin",Nominee,1991,,,,,,
45664,David Bouley,Restaurant & Chef,Best Chefs,Bouley,"New York, New York",Nominee,1991,,,,,,
47863,Bruce Naftaly,Restaurant & Chef,Best Chefs,Le Gourmand,"Seattle, Washington",Nominee,1991,,,,,,
47864,Bruce Cost,Restaurant & Chef,Best Chefs,Monsoon,"San Francisco, California",Nominee,1991,,,,,,
30889,Christina Ford,Restaurant & Chef,Best Chefs,Dahlia Lounge,"Seattle, Washington",Nominee,1991,,,,,,
42865,Emeril Lagasse,Restaurant & Chef,Best Chefs,Emeril's,"New Orleans, Louisiana",Winner,1991,,,,,,
42935,Jasper White,Restaurant & Chef,Best Chefs,Jasper's,"Boston, Massachusetts",Winner,1991,,,,,,
43041,Joachim Splichal,Restaurant & Chef,Best Chefs,"Patina,Galileo","Los Angeles, California",Winner,1991,,,,,,
43232,Caprial Pence,Restaurant & Chef,Best Chefs,Fullers (at the Sheraton Seattle),"Seattle, Washington",Winner,1991,,,,,,
45223,Stephan Pyles,Restaurant & Chef,Best Chefs,Routh Street Cafe,"Dallas, Texas",Winner,1991,,,,,,
47870,Jean-Louis Palladin,Restaurant & Chef,Best Chefs,Jean-Louis at the Watergate Hotel,"Washington, District of Columbia",Winner,1991,,,,,,
43698,Jennifer Fite,Restaurant & Chef,Best Chefs,Topolobampo,"Chicago, Illinois",Winner,1991,,,,,,
45586,Bill Shore,Restaurant & Chef,Humanitarian of the Year,,,Winner,1991,,,,,,
44880,M.F.K. Fisher,Restaurant & Chef,Lifetime Achievement,,,Winner,1991,,,,,,
43042,Joachim Splichal,Restaurant & Chef,Outstanding Chef,Patina,"Los Angeles, California",Nominee,1991,,,,,,
45666,Michel Richard,Restaurant & Chef,Outstanding Chef,Citrus,"Los Angeles, California",Nominee,1991,,,,,,
43666,Wolfgang Puck,Restaurant & Chef,Outstanding Chef,Spago,"Los Angeles, California",Winner,1991,,,,,,
45669,Jacques Torres,Restaurant & Chef,Outstanding Pastry Chef,Le Cirque,"New York, New York",Nominee,1991,,,,,,
45668,Albert Kumin,Restaurant & Chef,Outstanding Pastry Chef,Vie de Frances International,"Elmsford, New York",Nominee,1991,,,,,,
45667,Nancy Silverton,Restaurant & Chef,Outstanding Pastry Chef,Campanile,"Los Angeles, California",Winner,1991,,,,,,
45670,Union Square Cafe,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1991,,,,,,
47871,Le Bernardin,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1991,,,,,,
52968,Le Bernardin,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1991,,,,,,
52969,Union Square Cafe,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1991,,,,,,
43694,Bouley,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Winner,1991,,,,,,
52967,Bouley,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Winner,1991,,,,,,
46142,Randall Grahm,Restaurant & Chef,Outstanding Wine & Spirits Professional,Boony Doon Vineyards,"Santa Cruz, California",Nominee,1991,,,,,,
47862,Allen Shoup,Restaurant & Chef,Outstanding Wine & Spirits Professional,Chateau Ste. Michelle,"Woodinville, Washington",Nominee,1991,,,,,,
45148,Robert Mondavi,Restaurant & Chef,Outstanding Wine & Spirits Professional,Robert Mondavi Winery,"Oakville, California",Winner,1991,,,,,,
47861,Ray's Boathouse,Restaurant & Chef,Outstanding Wine Service,,"Seattle, Washington",Nominee,1991,,,,,,
46001,Charlie Trotters,Restaurant & Chef,Outstanding Wine Service,,"Burlingame, California",Nominee,1991,,,,,,
52966,Ray's Boathouse,Restaurant & Chef,Outstanding Wine Service,,"Seattle, Washington",Nominee,1991,,,,,,
52964,Charlie Trotter's,Restaurant & Chef,Outstanding Wine Service,,"Chicago, Illinois",Nominee,1991,,,,,,
47860,Square One,Restaurant & Chef,Outstanding Wine Service,,"San Francisco, California",Winner,1991,,,,,,
24541,Square One,Restaurant & Chef,Outstanding Wine Service,,"San Francisco, California",Winner,1991,,,,,,
52965,Square One,Restaurant & Chef,Outstanding Wine Service,,"San Francisco, Illinois",Winner,1991,,,,,,
42911,Bobby Flay,Restaurant & Chef,Rising Star Chef of the Year,Mesa Grill,"New York, New York",Nominee,1991,,,,,,
47106,Douglas Rodriguez,Restaurant & Chef,Rising Star Chef of the Year,Yuca Restaurant,"Miami, Florida",Nominee,1991,,,,,,
50505,Caprial Pence,Restaurant & Chef,Rising Star Chef of the Year,Fuller's,"Seattle, Washington",Nominee,1991,,,,,,
24547,Todd English,Restaurant & Chef,Rising Star Chef of the Year,Olives,"Cambridge, Massachusetts",Winner,1991,,,,,,
43074,Nancy Silverton,Restaurant & Chef,Who's Who of Food & Beverage in America,,"Los Angeles, California",Winner,1991,,,,,,
44989,Michel Richard,Restaurant & Chef,Who's Who of Food & Beverage in America,,"Washington, District of Columbia",Winner,1991,,,,,,
44806,Ken Hom,Restaurant & Chef,Who's Who of Food & Beverage in America,,Paris,Winner,1991,,,,,,
43550,Bryan Miller,Restaurant & Chef,Who's Who of Food & Beverage in America,,"New York, New York",Winner,1991,,,,,,
43695,David Bouley,Restaurant & Chef,Who's Who of Food & Beverage in America,,"New York, New York",Winner,1991,,,,,,
47134,Janie Hibler,Book,Americana,,,Nominee,1992,Dungeness Crabs and Blackberry Cobblers: The Northwest Heritage Cookbook,Alfred A. Knopf,,,,
50256,Sarah Belk-King,Book,Americana,,,Nominee,1992,Around the Southern Tabl,Simon & Schuster,,,,
44256,Beverly Cox,Book,Americana,,,Winner,1992,Spirit of the Harvest: North American Indian Cooking,"Stewart, Tabori & Chang",,,,
47395,Martin Jacobs,Book,Americana,,,Winner,1992,Spirit of the Harvest: North American Indian Cooking,"Stewart, Tabori & Chang",,,,
45338,Flo Braker,Book,Baking & Desserts,,,Nominee,1992,Sweet Miniatures,William Morrow,,,,
50258,Gail Damerow,Book,Baking & Desserts,,,Nominee,1992,Ice Cream! The Whole Scoop,Glenbridge Publishing Ltd.,,,,
50257,Carole Walter,Book,Baking & Desserts,,,Winner,1992,Great Cakes,Ballantine Books,,,,
50260,Linda Burgess,Book,Best Food Photography,,,Nominee,1992,A Weekend in the Country: Seasonal Recipes and Ideas for Relaxed Entertaining,Prentice Hall/Simon & Schuster,,,,
50259,Eric Jacobson,Book,Best Food Photography,,,Nominee,1992,Apples,Fireside/Simon & Schuster,,,,
43203,Molly Chappellet,Book,Best Food Photography,,,Winner,1992,A Vineyard Garden,Viking,,,,
45000,Michelle Urvater,Book,Convenience,,,Nominee,1992,Monday to Friday Cookbook,Workman,,,,
50247,Ellen Klavan,Book,Convenience,,,Nominee,1992,Creative Lunch Box,Crown Publishers,,,,
47128,Marlena Spieler,Book,Convenience,,,Winner,1992,From Pantry to Table,Aris Books/Addison-Wesley,,,,
44765,Julee Rosso,Book,Cookbook Hall of Fame,,,Winner,1992,The Silver Palate Cookbook,,,,,
45206,Sheila Lukins,Book,Cookbook Hall of Fame,,,Winner,1992,The Silver Palate Cookbook,,,,,
43402,James Peterson,Book,Cookbook of the Year,,,Winner,1992,Sauces: Classical and Contemporary Sauce Making,Van Nostrand Reinhold,,,,
53709,Culinary Institute of America,Book,General,,,Nominee,1992,The New Professional Chef,Van Nostrand Reinhold,,,,
50252,Perla Meyers,Book,General,,,Nominee,1992,Perla Meyers' Seasonal Cooking,Simon & Schuster,,,,
44463,Edward Giobbi,Book,General,,,Winner,1992,Pleasures of the Good Earth,Alfred A. Knopf,,,,
45339,Jean Anderson,Book,Healthier Living,,,Nominee,1992,Jean Anderson's Sin Free Desserts,Doubleday,,,,
50248,Ruth Spear,Book,Healthier Living,,,Nominee,1992,Low Fat & Loving It,Warner Books,,,,
44212,Antonio M. Gotto Jr. MD,Book,Healthier Living,,,Winner,1992,Chez Eddy Living Heart Cookbook,Simon & Schuster,,,,
45340,Anne Willan,Book,International,,,Nominee,1992,La France Gastronomique,Arcade Publishing,,,,
53710,Le Cordon Bleu International World Cuisine,Book,International,,,Nominee,1992,Le Cordon Bleu at Home,William Morrow/Hearst Books,,,,
43492,Patricia Wells,Book,International,,,Winner,1992,Simply French: Patricia Wells Presents the Cuisine of Joel Robuchon,William Morrow & Co.,,,,
50255,Jo Bettoja,Book,Italian,,,Nominee,1992,Southern Italian Cooking: Family Recipes from the Kingdom of Two Sicilies,Bantam Books,,,,
46243,Michele Scicolone,Book,Italian,,,Nominee,1992,The Antipasto Table,William Morrow,,,,
44219,Arrigo Cipriani,Book,Italian,,,Winner,1992,The Harry's Bar Cookbook: Recipes and Reminiscences from the World Famous Venice Bar and Restaurant,Bantam,,,,
50249,Jay Harlow,Book,Single Subject,,,Nominee,1992,Jay Harlow's Beer Cuisine,"Harlow & Ratner (Grove West, dist.",,,,
50250,Sally Stone,Book,Single Subject,,,Nominee,1992,The Essential Root Vegetable Cookbook,Clarkson Potter,,,,
43403,James Peterson,Book,Single Subject,,,Winner,1992,Sauces: Classical and Contemporary Sauce Making,Van Nostrand Reinhold,,,,
50245,Martha Rose Shulman,Book,Special Occasions,,,Nominee,1992,Entertaining Light,Bantam Books,,,,
50246,Lee Bailey,Book,Special Occasions,,,Nominee,1992,Lee Bailey's California Wine Country Cooking,Clarkson Potter,,,,
43252,Florence Fabricant,Book,Special Occasions,,,Winner,1992,New Home Cooking,Clarkson Potter,,,,
43269,Robert M. Parker,Book,Wine & Spirits,,,Nominee,1992,Bourdeaux: A Comprehensive Guide to the Wines Produced from 1961 - 1990,Simon & Schuster,,,,
50251,Hugh Johnson,Book,Wine & Spirits,,,Nominee,1992,Hugh Johnson's Modern Encyclopedia of Wine,Simon & Schuster,,,,
45053,Oz Clarke,Book,Wine & Spirits,,,Winner,1992,Oz Clarke's New Classic Wines,Simon & Schuster,,,,
50253,Sophie Grigson,Book,Writing on Food,,,Nominee,1992,Gourmet Ingredients,Van Nostrand Reinhold,,,,
50254,Angelo Pellegrini,Book,Writing on Food,,,Nominee,1992,Vintage Pellegrini,Sasquatch Books,,,,
45218,Simone Beck,Book,Writing on Food,,,Winner,1992,Food and Friends,Viking Penguin,,,,
47394,Suzanne Patterson,Book,Writing on Food,,,Winner,1992,Food and Friends,Viking Penguin,,,,
45673,Lidia Bastianich,Restaurant & Chef,Best Chefs,Felidia Ristorante,"New York, New York",Nominee,1992,,,,,,
46993,Peter Merriman,Restaurant & Chef,Best Chefs,Merriman's,"Waimea, Hawaii",Nominee,1992,,,,,,
42776,Jean-Georges Vongerichten,Restaurant & Chef,Best Chefs,JoJo,"New York, New York",Nominee,1992,,,,,,
47970,Frank Brigtsen,Restaurant & Chef,Best Chefs,Brigsten's,"New Orleans, Louisiana",Nominee,1992,,,,,,
47978,Georges Perrier,Restaurant & Chef,Best Chefs,Le Bec Fin,"Philadelphia, Pennsylvania",Nominee,1992,,,,,,
43161,Jimmy Schmidt,Restaurant & Chef,Best Chefs,The Rattlesnake Club,"Detroit, Michigan",Nominee,1992,,,,,,
47968,Kaspar Donier,Restaurant & Chef,Best Chefs,Kaspar's by the Bay,"Seattle, Washington",Nominee,1992,,,,,,
46973,Elizabeth Terry,Restaurant & Chef,Best Chefs,Elizabeth on 37th,"Savannah, Georgia",Nominee,1992,,,,,,
45682,Susan Feniger,Restaurant & Chef,Best Chefs,City Restaurant,"Los Angeles, California",Nominee,1992,,,,,,
47972,Mary Sue Milliken,Restaurant & Chef,Best Chefs,City Restaurant,"Los Angeles, California",Nominee,1992,,,,,,
47976,Susanna Foo,Restaurant & Chef,Best Chefs,Susanna Foo Chinese Cuisine,"Philadelphia, Pennsylvania",Nominee,1992,,,,,,
45672,Michael Foley,Restaurant & Chef,Best Chefs,Printers Row,"Chicago, Illinois",Nominee,1992,,,,,,
47977,Robert Kinkead,Restaurant & Chef,Best Chefs,Twenty-One Federal,"Washington, District of Columbia",Nominee,1992,,,,,,
46969,Vincent Guerithault,Restaurant & Chef,Best Chefs,Vincent on Camelback,"Phoenix, Arizona",Nominee,1992,,,,,,
47888,Alessandro Stratta,Restaurant & Chef,Best Chefs,Mary Elaine's,"Scottsdale, Arizona",Nominee,1992,,,,,,
47891,Gordon Hamersley,Restaurant & Chef,Best Chefs,Hamersley's Bistro,"Boston, Massachusetts",Nominee,1992,,,,,,
47975,Roberto Donna,Restaurant & Chef,Best Chefs,Galileo Restaurant,"Washington, District of Columbia",Nominee,1992,,,,,,
45674,Anne Rosenzweig,Restaurant & Chef,Best Chefs,Arcadia,"New York, New York",Nominee,1992,,,,,,
47892,Christopher Schlesinger,Restaurant & Chef,Best Chefs,East Coast Grill,"Cambridge, Massachusetts",Nominee,1992,,,,,,
47967,Richard Chamberlain,Restaurant & Chef,Best Chefs,The Restaurant at Little Nell,"Aspen, Colorado",Nominee,1992,,,,,,
47974,Alain Rondelli,Restaurant & Chef,Best Chefs,Ernie's,"San Francisco, California",Nominee,1992,,,,,,
44718,Johanne Killeen,Restaurant & Chef,Best Chefs,Al Forno,"Providence, Rhode Island",Nominee,1992,,,,,,
47966,Rex Hale,Restaurant & Chef,Best Chefs,The American Restaurant,"Kansas City, Missouri",Nominee,1992,,,,,,
46978,George Germon,Restaurant & Chef,Best Chefs,Al Forno,"Providence, Rhode Island",Nominee,1992,,,,,,
47887,Debra Ponzek,Restaurant & Chef,Best Chefs,Montrachet,"New York, New York",Nominee,1992,,,,,,
47965,Sanford D'Amato,Restaurant & Chef,Best Chefs,Sanford Restaurant,"Milwaukee, Wisconsin",Nominee,1992,,,,,,
47889,Janos Wilder,Restaurant & Chef,Best Chefs,Janos,"Tucson, Arizona",Nominee,1992,,,,,,
47969,Shiro Kashiba,Restaurant & Chef,Best Chefs,Nikko,"Seattle, Washington",Nominee,1992,,,,,,
26312,Ben Barker,Restaurant & Chef,Best Chefs,Magnolia Grill,"Durham, North Carolina",Nominee,1992,,,,,,
46781,Ben Barker,Restaurant & Chef,Best Chefs,Magnolia Grill,"Durham, North Carolina",Nominee,1992,,,,,,
47973,Bruce Cost,Restaurant & Chef,Best Chefs,Monsoon Restaurant,"San Francisco, California",Nominee,1992,,,,,,
47890,Rosa Rajkovic,Restaurant & Chef,Best Chefs,Monte Vista Firestation Restaurant,"Albuquerque, New Mexico",Nominee,1992,,,,,,
47971,Binh Duong,Restaurant & Chef,Best Chefs,La Truc,"Boca Raton, Florida",Nominee,1992,,,,,,
26234,Todd English,Restaurant & Chef,Best Chefs,Olive's,"Charlestown, Massachusetts",Nominee,1992,,,,,,
30888,Christina Ford,Restaurant & Chef,Best Chefs,Dahlia Lounge,"Seattle, Washington",Nominee,1992,,,,,,
42409,Lydia Shire,Restaurant & Chef,Best Chefs,Biba,"Boston, Massachusetts",Winner,1992,,,,,,
42574,Patrick O'Connell,Restaurant & Chef,Best Chefs,Inn at Little Washington,"Washington, Virginia",Winner,1992,,,,,,
42773,Robert Del Grande,Restaurant & Chef,Best Chefs,Cafe Annie,"Houston, Texas",Winner,1992,,,,,,
43132,Daniel Boulud,Restaurant & Chef,Best Chefs,Le Cirque,"New York, New York",Winner,1992,,,,,,
44990,Michel Richard,Restaurant & Chef,Best Chefs,Citrus,"Los Angeles, California",Winner,1992,,,,,,
44227,Barbara Figueroa,Restaurant & Chef,Best Chefs,The Hunt Club,"Seattle, Washington",Winner,1992,,,,,,
44922,Mark Militello,Restaurant & Chef,Best Chefs,Mark's Place,"N. Miami, Florida",Winner,1992,,,,,,
43657,Charlie Trotter,Restaurant & Chef,Best Chefs,Charlie Trotter's,"Chicago, Illinois",Winner,1992,,,,,,
43526,Gael Greene,Restaurant & Chef,Humanitarian of the Year,,,Winner,1992,,,,,,
44378,Craig Claiborne,Restaurant & Chef,Lifetime Achievement,,"New York, New York",Winner,1992,,,,,,
43131,Daniel Boulud,Restaurant & Chef,Outstanding Chef,Le Cirque,"New York, New York",Nominee,1992,,,,,,
45675,Stephan Pyles,Restaurant & Chef,Outstanding Chef,Routh Street Cafe,"Dallas, Texas",Nominee,1992,,,,,,
44668,Jean-Louis Palladin,Restaurant & Chef,Outstanding Chef,Jean-Louis at the Watergate,"Washington, District of Columbia",Nominee,1992,,,,,,
45676,André Soltner,Restaurant & Chef,Outstanding Chef,Lutece,"New York, New York",Nominee,1992,,,,,,
43727,Alice Waters,Restaurant & Chef,Outstanding Chef,Chez Panisse,"Berkeley, California",Winner,1992,,,,,,
47872,Ann Amernick,Restaurant & Chef,Outstanding Pastry Chef,,"Washington, District of Columbia",Nominee,1992,,,,,,
47874,Jim Dodge,Restaurant & Chef,Outstanding Pastry Chef,,"San Francisco, California",Nominee,1992,,,,,,
47873,Noel Comess,Restaurant & Chef,Outstanding Pastry Chef,Tom Cat Bakery,"Long Island City, New York",Nominee,1992,,,,,,
45677,Jacques Torres,Restaurant & Chef,Outstanding Pastry Chef,Le Cirque,"New York, New York",Nominee,1992,,,,,,
44162,Albert Kumin,Restaurant & Chef,Outstanding Pastry Chef,Vie de Frances International Pastry Arts Center,"Elmsford, New York",Winner,1992,,,,,,
45679,Union Square Cafe,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1992,,,,,,
42418,Le Cirque,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1992,,,,,,
42576,The Inn at Little Washington,Restaurant & Chef,Outstanding Restaurant,,"Washington, Virginia",Nominee,1992,,,,,,
45678,Lutece,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1992,,,,,,
53038,The Inn at Little Washington,Restaurant & Chef,Outstanding Restaurant,,"Washington, Virginia",Nominee,1992,,,,,,
53036,Le Cirque,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1992,,,,,,
53039,Union Square Cafe,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1992,,,,,,
53037,Lutece,Restaurant & Chef,Outstanding Restaurant,,"New York, New York",Nominee,1992,,,,,,
43728,Chez Panisse,Restaurant & Chef,Outstanding Restaurant,,"Berkeley, California",Winner,1992,,,,,,
53035,Chez Panisse,Restaurant & Chef,Outstanding Restaurant,,"Berkeley, California",Winner,1992,,,,,,
42575,The Inn at Little Washington,Restaurant & Chef,Outstanding Service,,"Washington, Virginia",Nominee,1992,,,,,,
45680,Montrachet,Restaurant & Chef,Outstanding Service,,"New York, New York",Nominee,1992,,,,,,
45681,Valentino,Restaurant & Chef,Outstanding Service,,"Santa Monica, California",Nominee,1992,,,,,,
53033,The Inn at Little Washington,Restaurant & Chef,Outstanding Service,,"Washington, Virginia",Nominee,1992,,,,,,
53034,Tony's,Restaurant & Chef,Outstanding Service,,"Houston, Texas",Nominee,1992,,,,,,
53032,Valentino,Restaurant & Chef,Outstanding Service,,"Santa Monica, California",Nominee,1992,,,,,,
53031,Montrachet,Restaurant & Chef,Outstanding Service,,"New York, New York",Nominee,1992,,,,,,
47979,Tony's,Restaurant & Chef,Outstanding Service,,"Houston, Texas",Nominee,1992,,,,,,
42345,Union Square Cafe,Restaurant & Chef,Outstanding Service,,"New York, New York",Winner,1992,,,,,,
53030,Union Square Cafe,Restaurant & Chef,Outstanding Service,,"New York, New York",Winner,1992,,,,,,
46002,Fritz Maytag,Restaurant & Chef,Outstanding Wine & Spirits Professional,Anchor Brewing Company,"San Francisco, California",Nominee,1992,,,,,,
47884,Mike Hogue,Restaurant & Chef,Outstanding Wine & Spirits Professional,Hogue Cellars,"Prosser, Washington",Nominee,1992,,,,,,
47885,Louis Martini,Restaurant & Chef,Outstanding Wine & Spirits Professional,Louis M Martini,"St. Helena, California",Nominee,1992,,,,,,
47886,Paul Shippman,Restaurant & Chef,Outstanding Wine & Spirits Professional,"Red Hook Ale Brewery, Inc","Seattle, Washington",Nominee,1992,,,,,,
44186,AndrÃ© Tchelistcheff,Restaurant & Chef,Outstanding Wine & Spirits Professional,,"Napa, California",Winner,1992,,,,,,
47881,Le Bec Fin,Restaurant & Chef,Outstanding Wine Service,,"Philadelphia, Pennsylvania",Nominee,1992,,,,,,
52971,The Inn at Little Washington,Restaurant & Chef,Outstanding Wine Service,,"Washington, Virginia",Nominee,1992,,,,,,
52973,Le Bec Fin,Restaurant & Chef,Outstanding Wine Service,,"Philadelphia, Pennsylvania",Nominee,1992,,,,,,
